Cycle\Fluorescence	A1 SYBR Green I	A2 SYBR Green I	A3 SYBR Green I	A4 SYBR Green I	A5 SYBR Green I	A6 SYBR Green I	A7 SYBR Green I	A8 SYBR Green I	A9 SYBR Green I	A10 SYBR Green I	A11 SYBR Green I	A12 SYBR Green I	B1 SYBR Green I	B2 SYBR Green I	B3 SYBR Green I	B4 SYBR Green I	B5 SYBR Green I	B6 SYBR Green I	B7 SYBR Green I	B8 SYBR Green I	B9 SYBR Green I	B10 SYBR Green I	B11 SYBR Green I	B12 SYBR Green I	C1 SYBR Green I	C2 SYBR Green I	C3 SYBR Green I	C4 SYBR Green I	C5 SYBR Green I	C6 SYBR Green I	C7 SYBR Green I	C8 SYBR Green I	C9 SYBR Green I	C10 SYBR Green I	C11 SYBR Green I	C12 SYBR Green I	D1 SYBR Green I	D2 SYBR Green I	D3 SYBR Green I	D4 SYBR Green I	D5 SYBR Green I	D6 SYBR Green I	D7 SYBR Green I	D8 SYBR Green I	D9 SYBR Green I	D10 SYBR Green I	D11 SYBR Green I	D12 SYBR Green I	E1 SYBR Green I	E2 SYBR Green I	E3 SYBR Green I	E4 SYBR Green I	E5 SYBR Green I	E6 SYBR Green I	E7 SYBR Green I	E8 SYBR Green I	E9 SYBR Green I	E10 SYBR Green I	E11 SYBR Green I	E12 SYBR Green I	F1 SYBR Green I	F2 SYBR Green I	F3 SYBR Green I	F4 SYBR Green I	F5 SYBR Green I	F6 SYBR Green I	F7 SYBR Green I	F8 SYBR Green I	F9 SYBR Green I	F10 SYBR Green I	F11 SYBR Green I	F12 SYBR Green I	G1 SYBR Green I	G2 SYBR Green I	G3 SYBR Green I	G4 SYBR Green I	G5 SYBR Green I	G6 SYBR Green I	G7 SYBR Green I	G8 SYBR Green I	G9 SYBR Green I	G10 SYBR Green I	G11 SYBR Green I	G12 SYBR Green I	H1 SYBR Green I	H2 SYBR Green I	H3 SYBR Green I	H4 SYBR Green I	H5 SYBR Green I	H6 SYBR Green I	H7 SYBR Green I	H8 SYBR Green I	H9 SYBR Green I	H10 SYBR Green I	H11 SYBR Green I	H12 SYBR Green I
21	0,405426	0,0298794	0,018357	0,0471559	0,0382417	0,0187381	0,0191365	0,0317776	0,0407507	0,022737	0,0221221	0,0251432	0,374018	0,0315947	0,0220289	0,0461323	0,0378933	0,023146	0,0300933	0,0233761	0,042134	0,0222633	0,0245174	0,0278071	0,390179	0,033236	0,0176546	0,0420664	0,037001	0,0279687	0,0217123	0,0203163	0,0428996	0,0231528	0,0223655	0,0251206	0,395846	0,0296967	0,0167612	0,0411789	0,0459697	0,0206005	0,020013	0,0192964	0,0459499	0,023748	0,0220752	0,0216563	0,130233	0,0185577	0,0201048	0,0166763	0,0222591	0,0175104	0,0309778	0,0223932	0,0255008	0,0213456	0,031747	0,0218288	0,131251	0,0200376	0,0195223	0,0156468	0,0201381	0,0205303	0,0324551	0,0221435	0,0258138	0,0236357	0,0348929	0,027138	0,127208	0,019461	0,21531	0,0174173	0,0243463	0,0240157	0,0202209	0,022484	0,0272861	0,0274945	0,0269689	0,0247222	0,135341	0,0210048	0,223632	0,0200139	0,0259176	0,0245275	0,0198174	0,0200416	0,0308124	0,0269772	0,026555	0,0247586
22	0,447656	0,0424007	0,0186557	0,0710481	0,043496	0,019106	0,019375	0,0323083	0,0458541	0,023041	0,0221458	0,02549	0,411464	0,0440346	0,0224552	0,0686599	0,043177	0,0238251	0,030073	0,0239091	0,0474295	0,0225348	0,0245553	0,0280542	0,430289	0,0449776	0,0179665	0,0631289	0,0419196	0,028368	0,0219754	0,0208879	0,0483873	0,0235271	0,0223333	0,0255042	0,43601	0,0412101	0,0170619	0,0624185	0,0511211	0,0208324	0,0200853	0,0201465	0,0513335	0,0238667	0,0220857	0,0220911	0,201819	0,0200556	0,0231453	0,0167506	0,0234721	0,0176033	0,0331554	0,0224011	0,0267921	0,0214713	0,0336374	0,0216476	0,203207	0,0215855	0,0222816	0,0158632	0,0212449	0,020678	0,0346748	0,0224796	0,0269872	0,0237641	0,0365352	0,0269955	0,198656	0,0209037	0,304263	0,0175705	0,0254802	0,0243108	0,0205216	0,0226868	0,0284423	0,0276393	0,0270262	0,024831	0,208329	0,0226166	0,307441	0,0202238	0,0269939	0,0246895	0,0203488	0,020171	0,0321314	0,0274216	0,0268132	0,024982
23	0,473327	0,0650378	0,0188958	0,113199	0,0533071	0,0197302	0,0196445	0,0329425	0,055994	0,0235135	0,0221151	0,0262909	0,43239	0,0666035	0,0227888	0,107786	0,0537939	0,0241805	0,0302262	0,0248724	0,057433	0,0230606	0,0244638	0,028814	0,453516	0,0667477	0,0183459	0,100456	0,0515548	0,0289988	0,0218656	0,0219114	0,0589135	0,0237474	0,0224765	0,0262308	0,459611	0,0623148	0,0175585	0,0994906	0,0611463	0,0213659	0,0204066	0,0208259	0,061536	0,0242251	0,0222725	0,0226043	0,286916	0,0225963	0,0289819	0,0168703	0,0257739	0,0178218	0,0372744	0,0225083	0,0289841	0,021581	0,0375591	0,0218677	0,287794	0,0239119	0,0277752	0,015885	0,023678	0,020966	0,0388728	0,022639	0,0291195	0,0237845	0,0403496	0,0272372	0,28469	0,0234955	0,383063	0,0177906	0,0278923	0,0247367	0,0207825	0,0226316	0,0306677	0,0278114	0,027396	0,024879	0,294972	0,0254371	0,378559	0,0203967	0,0291519	0,0249342	0,0208139	0,0200486	0,034652	0,0275506	0,0267966	0,0249406
24	0,488248	0,104607	0,0197426	0,178578	0,0715674	0,020678	0,0197434	0,0343316	0,0749667	0,0241959	0,0221685	0,0279704	0,446042	0,105917	0,023497	0,168625	0,0729827	0,0251462	0,0305485	0,0266253	0,0765338	0,0238427	0,0245408	0,0303824	0,467523	0,104402	0,0191506	0,158441	0,0688558	0,030219	0,0222588	0,0237173	0,0787043	0,0247326	0,0226207	0,0282702	0,472895	0,0996367	0,0183692	0,157928	0,0793066	0,022621	0,020523	0,0228474	0,080431	0,0251436	0,0221242	0,0240092	0,362781	0,0278767	0,04036	0,0170831	0,0300329	0,0181051	0,0454406	0,0227963	0,0336718	0,0218832	0,0451898	0,0218983	0,364263	0,0288354	0,0383759	0,0160397	0,0280091	0,0213675	0,0466949	0,0228346	0,0334528	0,0240194	0,0472131	0,0273269	0,363765	0,0283296	0,437412	0,0177785	0,0320219	0,0251451	0,0212229	0,0227045	0,0348377	0,0279981	0,0277439	0,0250283	0,373044	0,0304483	0,425148	0,0206288	0,0332315	0,0253653	0,021319	0,0204186	0,039508	0,0277996	0,0273173	0,025272
25	0,498039	0,16687	0,0207411	0,265051	0,103679	0,0227242	0,0201339	0,0371889	0,108824	0,0259105	0,0222033	0,0310497	0,453797	0,167313	0,0249028	0,248475	0,106936	0,0266333	0,0308271	0,0300477	0,109878	0,0255841	0,0247678	0,0332561	0,476819	0,163514	0,0204135	0,233551	0,0997374	0,0322674	0,0225336	0,0271495	0,113798	0,0261408	0,0225656	0,0318808	0,482312	0,159488	0,019808	0,23646	0,1116	0,0246348	0,0206304	0,0263286	0,114621	0,0267392	0,0224437	0,0265108	0,417068	0,0376859	0,0609258	0,0173472	0,0385462	0,0184519	0,0605625	0,023106	0,0426336	0,0223465	0,0593642	0,0217629	0,41791	0,0380225	0,0574532	0,0161825	0,0359745	0,0218111	0,0612846	0,0229452	0,0422587	0,024242	0,0604121	0,0273733	0,420385	0,0369814	0,469646	0,0177331	0,0398326	0,0257331	0,0218616	0,0228617	0,0429435	0,0285166	0,0285554	0,0250164	0,427525	0,0400466	0,452949	0,0207015	0,0407323	0,0256094	0,0224193	0,0204706	0,0485887	0,0279768	0,0281569	0,0253221
26	0,505643	0,249512	0,0229366	0,354609	0,156616	0,0265521	0,020591	0,0433573	0,165122	0,0291327	0,0223859	0,0371851	0,460482	0,248311	0,0271867	0,328969	0,16117	0,030137	0,0315466	0,0366899	0,165027	0,0291981	0,024778	0,038649	0,483359	0,241079	0,0224855	0,311422	0,14948	0,036021	0,0228991	0,0341318	0,170749	0,0290511	0,0226949	0,0384259	0,489322	0,240037	0,0221729	0,319544	0,163079	0,0281656	0,0210945	0,0323708	0,169883	0,0294806	0,02254	0,0320058	0,449662	0,0556864	0,0972892	0,0176799	0,0544495	0,0192861	0,0882788	0,0230655	0,0592733	0,0229838	0,0861612	0,0218907	0,450134	0,0547646	0,0914098	0,0162083	0,0506105	0,0224785	0,0876289	0,0229638	0,0578381	0,024515	0,0852607	0,0277371	0,455093	0,0531096	0,488225	0,0179741	0,0546511	0,0264496	0,0235272	0,0231245	0,0580049	0,029335	0,0301239	0,0249036	0,461059	0,0578116	0,469224	0,0209149	0,055265	0,026642	0,0236916	0,020333	0,0658898	0,0288104	0,0296214	0,0253661
27	0,511295	0,334774	0,0268666	0,424395	0,23052	0,033451	0,0212477	0,0545529	0,244701	0,0351505	0,0225034	0,049103	0,465199	0,330376	0,0312395	0,391599	0,235825	0,0357648	0,0323593	0,0490164	0,241471	0,0356245	0,0251113	0,0493083	0,488744	0,319361	0,0266882	0,371952	0,219072	0,0426822	0,0231952	0,0468388	0,249796	0,0348952	0,02323	0,0511416	0,495041	0,325576	0,0263356	0,385423	0,233628	0,0346181	0,0215851	0,0444611	0,246956	0,0353524	0,0228696	0,04177	0,468843	0,0878337	0,15553	0,0179902	0,0831281	0,0204914	0,134698	0,0233847	0,0897773	0,0242506	0,131407	0,0218628	0,46898	0,0853601	0,145092	0,0165425	0,07733	0,0237796	0,132052	0,023275	0,0871683	0,0255054	0,127246	0,0282423	0,475196	0,082133	0,49949	0,0180936	0,0813555	0,0278291	0,0262942	0,0234247	0,0860753	0,0306014	0,0330021	0,0252224	0,480179	0,0897229	0,479302	0,0211837	0,0810437	0,0279432	0,0266814	0,0207863	0,0969155	0,0297696	0,032591	0,0257467
28	0,515079	0,40225	0,0336392	0,468703	0,314969	0,0461565	0,0221703	0,0755227	0,333424	0,0466989	0,0230665	0,0709502	0,469229	0,394379	0,0389632	0,430678	0,316547	0,0470891	0,0334875	0,0710598	0,325093	0,0478761	0,0256039	0,0690695	0,492081	0,380861	0,033889	0,409403	0,29604	0,0551373	0,023999	0,0700538	0,33553	0,0458691	0,0236874	0,074417	0,498371	0,394817	0,0342536	0,428147	0,310089	0,0466548	0,022036	0,0663211	0,330319	0,0461615	0,0238895	0,060464	0,479884	0,139977	0,232863	0,0185364	0,131109	0,0229454	0,202817	0,0237088	0,141248	0,0268758	0,20026	0,0221016	0,480722	0,135209	0,217904	0,0167264	0,122096	0,0260958	0,197975	0,0235238	0,13574	0,027225	0,190957	0,0287009	0,487855	0,12957	0,5071	0,0183311	0,126119	0,0305536	0,031376	0,0239068	0,132895	0,0331297	0,0388721	0,0254274	0,49243	0,142698	0,486133	0,0213965	0,124174	0,0303868	0,0318952	0,0210923	0,148964	0,0316366	0,0380165	0,0259564
29	0,5181	0,44484	0,0458277	0,494858	0,389998	0,069245	0,0234566	0,112448	0,407991	0,0679701	0,0238817	0,110128	0,471638	0,434639	0,0524375	0,452956	0,385314	0,0675198	0,0346295	0,109344	0,393653	0,0700999	0,0263371	0,104177	0,495303	0,419561	0,0468192	0,431368	0,363661	0,0777055	0,0250829	0,109474	0,405552	0,066496	0,024695	0,115718	0,501484	0,44035	0,048677	0,45208	0,374408	0,0681495	0,0226554	0,104322	0,398434	0,0662422	0,0250826	0,093699	0,488176	0,212834	0,315	0,0192148	0,201761	0,0269107	0,283991	0,024262	0,216827	0,0316646	0,284909	0,0220325	0,488707	0,205317	0,294254	0,0169199	0,187598	0,030411	0,277352	0,0236388	0,207521	0,0301393	0,270116	0,0289871	0,496237	0,198101	0,51264	0,0183833	0,192263	0,0353496	0,0411324	0,0242468	0,202792	0,0377744	0,0495314	0,0255987	0,500985	0,217296	0,490865	0,0216801	0,188885	0,0350683	0,0417325	0,0213628	0,2242	0,0348584	0,0482115	0,0263544
30	0,520653	0,470166	0,0685139	0,510178	0,445038	0,109609	0,0254613	0,171065	0,458761	0,105696	0,0254086	0,172615	0,473724	0,458676	0,0773365	0,466284	0,433682	0,103083	0,037328	0,169635	0,438945	0,10979	0,0279042	0,161186	0,497607	0,442214	0,0705805	0,44452	0,41193	0,116469	0,0271861	0,171769	0,451575	0,103029	0,026939	0,180146	0,503983	0,466703	0,0746992	0,466744	0,420386	0,106006	0,0239706	0,164441	0,443335	0,102084	0,0277121	0,148252	0,493984	0,2944	0,381459	0,0196928	0,287106	0,0347032	0,359139	0,0246038	0,307067	0,0408152	0,363669	0,0223459	0,494523	0,285403	0,355549	0,0171279	0,266077	0,0386061	0,352327	0,0240918	0,292976	0,0359603	0,343904	0,02962	0,502574	0,277965	0,517163	0,0185665	0,273803	0,0447506	0,0593024	0,0245591	0,28627	0,0471185	0,0700428	0,026029	0,507013	0,303188	0,495329	0,0220802	0,268852	0,0439797	0,0595848	0,0220762	0,312154	0,0415759	0,0670477	0,026794
31	0,522956	0,485565	0,107635	0,52136	0,482239	0,172541	0,0294138	0,251313	0,488049	0,167254	0,0281278	0,258093	0,475882	0,472741	0,119937	0,475379	0,465757	0,15947	0,0416119	0,248913	0,46599	0,17248	0,0307498	0,239324	0,499545	0,455311	0,11144	0,45235	0,443564	0,176757	0,0304276	0,254954	0,478463	0,161711	0,0308234	0,263353	0,505599	0,48295	0,118537	0,476857	0,450623	0,165579	0,0257255	0,243806	0,469561	0,160007	0,0327042	0,224927	0,497761	0,362989	0,423614	0,0201266	0,367266	0,0486854	0,415963	0,025107	0,38687	0,0576945	0,420989	0,0226387	0,498863	0,353975	0,394847	0,0173658	0,338192	0,0535475	0,408518	0,0245187	0,368685	0,046764	0,397624	0,0302695	0,507283	0,349169	0,520589	0,0188065	0,349829	0,0617536	0,0917496	0,025155	0,36094	0,0641537	0,106596	0,0266365	0,512195	0,377399	0,498647	0,0224736	0,3464	0,0601788	0,0916132	0,0226144	0,389476	0,0540225	0,101162	0,0274054
32	0,524487	0,495195	0,167191	0,528546	0,506667	0,256586	0,0367764	0,338494	0,504973	0,250925	0,0326569	0,348472	0,476836	0,481988	0,184001	0,481832	0,486549	0,235385	0,049406	0,330737	0,47992	0,255213	0,036137	0,322667	0,50104	0,464035	0,174376	0,458234	0,464938	0,256114	0,0366437	0,340874	0,493595	0,241031	0,0381467	0,346643	0,507091	0,493236	0,185256	0,483809	0,470725	0,247135	0,0290421	0,327236	0,484004	0,239296	0,0419687	0,307827	0,501543	0,408688	0,447996	0,0203882	0,427989	0,0741042	0,452695	0,0254222	0,443077	0,0878782	0,455508	0,0229185	0,502405	0,400299	0,417191	0,0175235	0,392051	0,0807088	0,446696	0,0246712	0,420264	0,0666049	0,429478	0,0308849	0,510752	0,39795	0,522514	0,019026	0,407855	0,0923699	0,144502	0,0255882	0,412436	0,09443	0,165098	0,0269329	0,515525	0,427429	0,500484	0,022702	0,40574	0,0890988	0,143167	0,0229869	0,441412	0,0764667	0,158122	0,0280411
33	0,525687	0,502018	0,24381	0,534166	0,523353	0,34376	0,0501331	0,411856	0,513931	0,342106	0,0410997	0,420809	0,477521	0,488143	0,265477	0,486115	0,499944	0,31537	0,0645032	0,396928	0,487901	0,340318	0,0457702	0,390104	0,501743	0,470235	0,256354	0,462782	0,478681	0,33707	0,0484049	0,410141	0,501369	0,324425	0,0516921	0,409234	0,50775	0,499877	0,268521	0,488429	0,483154	0,334527	0,0352533	0,395782	0,492187	0,324316	0,0586296	0,376568	0,503899	0,435611	0,461497	0,0206906	0,467769	0,117072	0,477055	0,0258565	0,476928	0,138831	0,475665	0,0230858	0,505058	0,427071	0,429722	0,017767	0,427201	0,125955	0,470752	0,0252285	0,451426	0,101992	0,448643	0,0315016	0,514206	0,425929	0,524133	0,0190999	0,446709	0,142726	0,218663	0,0259134	0,443905	0,145092	0,245497	0,0274957	0,518386	0,456624	0,501879	0,0228857	0,445395	0,136999	0,215302	0,0233173	0,472739	0,116362	0,239242	0,0283889
34	0,526146	0,506998	0,319555	0,537888	0,533952	0,414539	0,0742771	0,46389	0,517596	0,414944	0,0567019	0,466744	0,477854	0,492983	0,343465	0,489012	0,507907	0,38219	0,0911863	0,440674	0,490501	0,404471	0,0639001	0,433588	0,502247	0,474086	0,338316	0,465459	0,486909	0,40199	0,0690774	0,45788	0,504912	0,389331	0,0764673	0,4482	0,508451	0,505076	0,348125	0,491856	0,491321	0,407738	0,0463669	0,442303	0,495591	0,39192	0,0889758	0,421173	0,505808	0,450436	0,47059	0,0210993	0,493188	0,181501	0,492301	0,0261306	0,495245	0,213468	0,486118	0,0233361	0,506676	0,442369	0,437875	0,0177705	0,449195	0,193942	0,485956	0,0254418	0,468392	0,159008	0,458326	0,0318899	0,514821	0,442503	0,525231	0,0191636	0,471366	0,215783	0,303155	0,0262782	0,461261	0,219014	0,331307	0,0277229	0,519847	0,47406	0,503167	0,023278	0,472294	0,206495	0,295749	0,0237694	0,490503	0,179626	0,332761	0,0287301
35	0,5268	0,510407	0,378287	0,541052	0,540675	0,464233	0,116156	0,498177	0,519381	0,462355	0,0851569	0,494125	0,478437	0,496561	0,401972	0,491787	0,513012	0,427635	0,136358	0,469547	0,492119	0,445665	0,0963149	0,458864	0,503021	0,477489	0,402042	0,468087	0,492451	0,446522	0,105995	0,488118	0,506028	0,430981	0,119677	0,470924	0,508977	0,509258	0,407824	0,495066	0,496313	0,458989	0,0666057	0,473392	0,497146	0,435017	0,139191	0,44868	0,50707	0,460291	0,476741	0,0211807	0,510188	0,261546	0,50303	0,0264855	0,505494	0,303262	0,491181	0,0234466	0,508143	0,451312	0,443179	0,0179895	0,463826	0,27786	0,496802	0,0257839	0,477765	0,238056	0,463419	0,0320048	0,516816	0,452483	0,52607	0,0193184	0,487753	0,301687	0,377222	0,0266465	0,470799	0,305028	0,401139	0,0283482	0,521945	0,484323	0,503933	0,0236287	0,489799	0,290304	0,366253	0,0242391	0,500866	0,263649	0,413677	0,0293651
36	0,526695	0,513932	0,41443	0,543586	0,544384	0,496526	0,181475	0,520996	0,519784	0,489622	0,133088	0,50879	0,478586	0,499478	0,43827	0,493653	0,515441	0,457033	0,203108	0,487727	0,492741	0,469188	0,149005	0,473016	0,502663	0,479908	0,441963	0,469329	0,494646	0,474828	0,164722	0,507503	0,5059	0,455166	0,186267	0,483154	0,50932	0,511559	0,444188	0,496658	0,498037	0,492796	0,102962	0,494254	0,497175	0,459956	0,210929	0,463127	0,508746	0,466784	0,481464	0,0215809	0,52079	0,338301	0,508767	0,0266499	0,509931	0,382892	0,493883	0,0238812	0,509936	0,457944	0,447212	0,0181291	0,4724	0,358235	0,502726	0,0261006	0,481823	0,323215	0,46551	0,0321482	0,517825	0,459238	0,526448	0,019327	0,498105	0,378734	0,430382	0,0267683	0,475535	0,3798	0,446817	0,0284679	0,523179	0,491725	0,50475	0,0239356	0,501692	0,36613	0,415881	0,0246349	0,50553	0,350316	0,469102	0,0295237
37	0,526854	0,51545	0,4353	0,544439	0,545027	0,516888	0,265595	0,53506	0,519603	0,504975	0,204428	0,516932	0,478296	0,500997	0,458834	0,494956	0,514943	0,476399	0,284301	0,499736	0,492473	0,481546	0,223527	0,479879	0,503238	0,481304	0,464984	0,470578	0,495487	0,494223	0,245568	0,519761	0,506568	0,467917	0,272114	0,489664	0,509353	0,51355	0,464474	0,498608	0,498211	0,515809	0,15886	0,507645	0,497314	0,473351	0,292385	0,471342	0,508994	0,470719	0,484465	0,0215428	0,527313	0,396975	0,511596	0,0270061	0,512185	0,438052	0,494842	0,0239017	0,510199	0,462284	0,450301	0,0182	0,477733	0,420143	0,505619	0,0261776	0,484132	0,392115	0,466258	0,032526	0,518306	0,464178	0,526541	0,019398	0,503525	0,435833	0,465923	0,0269879	0,476709	0,430536	0,472518	0,0287296	0,523525	0,497033	0,504565	0,0240875	0,509359	0,423	0,449069	0,0247906	0,507553	0,417205	0,501916	0,0298103
38	0,525956	0,517289	0,446388	0,545582	0,544502	0,530979	0,350382	0,543732	0,519315	0,513019	0,290205	0,520686	0,478355	0,502433	0,470633	0,496228	0,514416	0,489211	0,359799	0,506598	0,492004	0,487721	0,306326	0,48359	0,503013	0,482728	0,478539	0,471293	0,494868	0,506182	0,333361	0,526948	0,50594	0,474	0,356104	0,492532	0,508665	0,514969	0,47702	0,499351	0,497786	0,529771	0,23269	0,515557	0,497229	0,479921	0,3618	0,474832	0,509279	0,474126	0,487567	0,0216367	0,530529	0,436118	0,512519	0,027139	0,513257	0,47066	0,494994	0,0241747	0,510356	0,466091	0,452229	0,0183479	0,479404	0,461596	0,505634	0,0263502	0,483877	0,437015	0,466248	0,0327527	0,518686	0,467925	0,52673	0,0194548	0,506059	0,473523	0,488644	0,0273264	0,477391	0,460403	0,487123	0,0290013	0,52363	0,500474	0,50515	0,0245147	0,5132	0,46079	0,47037	0,0249602	0,507776	0,459721	0,521399	0,0301141
39	0,526078	0,517927	0,454501	0,546041	0,543963	0,539117	0,418161	0,548286	0,51936	0,516323	0,368043	0,522461	0,478506	0,503185	0,478858	0,496582	0,513543	0,496273	0,415748	0,510069	0,491424	0,489681	0,37461	0,48455	0,502792	0,483862	0,486793	0,471427	0,493536	0,513314	0,407713	0,530407	0,505538	0,476484	0,417905	0,493615	0,508041	0,515371	0,485385	0,499687	0,496725	0,538079	0,309881	0,519411	0,496706	0,482606	0,407778	0,476417	0,509585	0,476989	0,48884	0,0217599	0,531695	0,46145	0,511603	0,027398	0,512491	0,489232	0,494936	0,0242967	0,510038	0,46817	0,454161	0,0183816	0,48006	0,488188	0,504962	0,0263448	0,484004	0,46359	0,466158	0,0326896	0,518605	0,46965	0,526262	0,019572	0,504881	0,497763	0,503636	0,0272881	0,476826	0,476859	0,493788	0,0291008	0,523615	0,50326	0,504798	0,0244446	0,513591	0,485099	0,484227	0,0249422	0,507299	0,483784	0,531431	0,0300351
40	0,525881	0,518308	0,45941	0,546717	0,542667	0,54321	0,463841	0,549047	0,518356	0,517535	0,423066	0,522938	0,477893	0,503322	0,483926	0,496573	0,51281	0,499883	0,452498	0,509574	0,491282	0,4904	0,419512	0,484941	0,502299	0,483905	0,493123	0,471653	0,493258	0,516995	0,458965	0,531001	0,505354	0,477906	0,455865	0,493144	0,507949	0,515747	0,490994	0,499988	0,496564	0,543559	0,37235	0,520846	0,496112	0,483553	0,434691	0,477146	0,508784	0,47832	0,490033	0,0218207	0,530733	0,478045	0,510759	0,0275228	0,512842	0,498495	0,494441	0,0243425	0,510629	0,469491	0,45426	0,0183945	0,479364	0,505008	0,504296	0,0265407	0,483784	0,478718	0,465591	0,0327243	0,518029	0,471527	0,52586	0,0194897	0,503895	0,514313	0,512821	0,0273246	0,477039	0,485502	0,497403	0,0293373	0,523742	0,504842	0,504795	0,0245088	0,51333	0,501981	0,492976	0,0249166	0,50746	0,497782	0,536255	0,0302713
41	0,525371	0,518194	0,463882	0,546475	0,54256	0,544207	0,494181	0,548852	0,518274	0,517736	0,455429	0,522772	0,477615	0,503196	0,487888	0,496196	0,512528	0,501968	0,476538	0,509372	0,490619	0,490401	0,445372	0,484282	0,502136	0,484021	0,497589	0,471803	0,492314	0,518152	0,492064	0,530416	0,504588	0,47728	0,476382	0,49346	0,507609	0,516368	0,493983	0,500185	0,495123	0,545842	0,415987	0,520184	0,495955	0,483598	0,449899	0,47725	0,508601	0,479382	0,490649	0,021787	0,530186	0,488665	0,509789	0,0274136	0,512133	0,502835	0,494167	0,0243072	0,509469	0,470995	0,455308	0,0183825	0,478011	0,516493	0,502979	0,0264574	0,483533	0,485896	0,465462	0,0325755	0,517645	0,472961	0,525551	0,019528	0,502684	0,523983	0,517818	0,0273283	0,476296	0,489438	0,497941	0,029471	0,522808	0,506388	0,503897	0,0244246	0,512286	0,512531	0,498249	0,0249806	0,507489	0,504478	0,538257	0,0303168
42	0,52519	0,518247	0,466568	0,546721	0,54151	0,543606	0,513176	0,546442	0,517503	0,516876	0,473977	0,522205	0,477331	0,503576	0,490487	0,495925	0,511382	0,50122	0,492099	0,507464	0,489938	0,489798	0,459435	0,484363	0,501954	0,483191	0,500432	0,471287	0,491858	0,517512	0,513384	0,528588	0,504167	0,476908	0,487282	0,492833	0,507166	0,515949	0,497037	0,499808	0,494984	0,545685	0,444477	0,518571	0,495134	0,483464	0,457084	0,476545	0,50814	0,480065	0,490681	0,0218577	0,529265	0,495093	0,509157	0,0274382	0,51205	0,504045	0,493053	0,0243795	0,509269	0,471655	0,455519	0,0183008	0,477361	0,522813	0,501735	0,0264511	0,483166	0,489442	0,464698	0,0327025	0,517328	0,473574	0,524773	0,019496	0,501204	0,530017	0,519355	0,0273681	0,476195	0,490518	0,498237	0,0295769	0,522467	0,507222	0,503503	0,0245842	0,511078	0,518475	0,50016	0,0250207	0,507217	0,507287	0,539282	0,0302489
43	0,524526	0,517928	0,468455	0,546337	0,540779	0,542798	0,525885	0,545919	0,517684	0,51662	0,483843	0,521829	0,477002	0,503114	0,492502	0,495714	0,510883	0,500302	0,501769	0,506858	0,489289	0,489683	0,465954	0,483755	0,501297	0,483422	0,502453	0,471157	0,491182	0,516811	0,528157	0,527869	0,503877	0,477197	0,492624	0,492792	0,50656	0,515944	0,499575	0,499058	0,494598	0,546348	0,462572	0,517715	0,494864	0,482616	0,460344	0,475736	0,507578	0,480204	0,491113	0,021649	0,528741	0,498638	0,508638	0,0275438	0,511873	0,504641	0,492765	0,024186	0,508789	0,471815	0,455819	0,0183607	0,476699	0,526091	0,501918	0,026507	0,482803	0,490681	0,464564	0,032517	0,517343	0,473497	0,524584	0,019441	0,5008	0,532855	0,520372	0,0272757	0,475287	0,491207	0,498079	0,029966	0,521932	0,507774	0,503126	0,0243979	0,510734	0,520419	0,501189	0,0249886	0,506884	0,508405	0,538816	0,0302353
44	0,523956	0,517969	0,470435	0,546106	0,540389	0,541761	0,533577	0,544785	0,515896	0,516618	0,488615	0,521149	0,476099	0,503518	0,493854	0,495721	0,510558	0,499344	0,506958	0,506284	0,489178	0,489191	0,469049	0,483647	0,501192	0,482743	0,504016	0,470475	0,491411	0,516065	0,537436	0,526755	0,503273	0,476452	0,494403	0,492148	0,506427	0,515475	0,501043	0,499652	0,494042	0,544848	0,474468	0,516451	0,494372	0,482508	0,461382	0,476314	0,507402	0,480428	0,490723	0,0218213	0,527357	0,500266	0,508891	0,0276005	0,510677	0,50481	0,492636	0,0243609	0,508273	0,471938	0,455695	0,0183798	0,476359	0,527522	0,501177	0,0266367	0,482203	0,491605	0,464112	0,0324902	0,516653	0,474445	0,524472	0,019586	0,500544	0,532611	0,519821	0,0272427	0,475203	0,490752	0,497924	0,0307802	0,521575	0,50818	0,502985	0,0244291	0,510057	0,52044	0,500514	0,0249692	0,506352	0,508728	0,538851	0,0303296
45	0,52349	0,517757	0,471306	0,545157	0,540035	0,541193	0,538741	0,543954	0,516068	0,515782	0,490035	0,521129	0,476073	0,502889	0,494552	0,495161	0,510213	0,498554	0,510174	0,505859	0,488093	0,488987	0,469629	0,482586	0,500603	0,482724	0,504809	0,470039	0,490837	0,515678	0,542886	0,52644	0,502414	0,476479	0,494711	0,492353	0,50585	0,515178	0,501766	0,498483	0,493389	0,544114	0,482228	0,516624	0,494341	0,482364	0,461816	0,47556	0,507232	0,480469	0,491036	0,0218658	0,527701	0,500072	0,507992	0,0276474	0,510514	0,504299	0,491923	0,0244509	0,508561	0,471957	0,455212	0,0182886	0,47623	0,527455	0,500692	0,0266708	0,482232	0,491952	0,46441	0,0325565	0,516637	0,474569	0,523659	0,0195594	0,50061	0,532674	0,519273	0,0272858	0,47442	0,490616	0,497635	0,0317532	0,521706	0,508253	0,502778	0,024623	0,509769	0,520155	0,500355	0,0251016	0,50606	0,50883	0,538781	0,0303051
