Cycle\Fluorescence	A1 SYBR Green I	A2 SYBR Green I	A3 SYBR Green I	A4 SYBR Green I	A5 SYBR Green I	A6 SYBR Green I	A7 SYBR Green I	A8 SYBR Green I	A9 SYBR Green I	A10 SYBR Green I	A11 SYBR Green I	A12 SYBR Green I	B1 SYBR Green I	B2 SYBR Green I	B3 SYBR Green I	B4 SYBR Green I	B5 SYBR Green I	B6 SYBR Green I	B7 SYBR Green I	B8 SYBR Green I	B9 SYBR Green I	B10 SYBR Green I	B11 SYBR Green I	B12 SYBR Green I	C1 SYBR Green I	C2 SYBR Green I	C3 SYBR Green I	C4 SYBR Green I	C5 SYBR Green I	C6 SYBR Green I	C7 SYBR Green I	C8 SYBR Green I	C9 SYBR Green I	C10 SYBR Green I	C11 SYBR Green I	C12 SYBR Green I	D1 SYBR Green I	D2 SYBR Green I	D3 SYBR Green I	D4 SYBR Green I	D5 SYBR Green I	D6 SYBR Green I	D7 SYBR Green I	D8 SYBR Green I	D9 SYBR Green I	D10 SYBR Green I	D11 SYBR Green I	D12 SYBR Green I	E1 SYBR Green I	E2 SYBR Green I	E3 SYBR Green I	E4 SYBR Green I	E5 SYBR Green I	E6 SYBR Green I	E7 SYBR Green I	E8 SYBR Green I	E9 SYBR Green I	E10 SYBR Green I	E11 SYBR Green I	E12 SYBR Green I	F1 SYBR Green I	F2 SYBR Green I	F3 SYBR Green I	F4 SYBR Green I	F5 SYBR Green I	F6 SYBR Green I	F7 SYBR Green I	F8 SYBR Green I	F9 SYBR Green I	F10 SYBR Green I	F11 SYBR Green I	F12 SYBR Green I	G1 SYBR Green I	G2 SYBR Green I	G3 SYBR Green I	G4 SYBR Green I	G5 SYBR Green I	G6 SYBR Green I	G7 SYBR Green I	G8 SYBR Green I	G9 SYBR Green I	G10 SYBR Green I	G11 SYBR Green I	G12 SYBR Green I	H1 SYBR Green I	H2 SYBR Green I	H3 SYBR Green I	H4 SYBR Green I	H5 SYBR Green I	H6 SYBR Green I	H7 SYBR Green I	H8 SYBR Green I	H9 SYBR Green I	H10 SYBR Green I	H11 SYBR Green I	H12 SYBR Green I
11	0,0187532	0,0159888	0,0178845	0,0193859	0,0334258	0,0180932	0,0186449	0,0314825	0,0355576	0,0225978	0,0223926	0,0252594	0,019057	0,0175743	0,0214754	0,0201106	0,0323712	0,0226303	0,0297625	0,0228625	0,0374561	0,0218966	0,024723	0,0277943	0,0231143	0,0199963	0,0170816	0,0177743	0,031952	0,027029	0,0211823	0,0194223	0,0375111	0,0231457	0,0225377	0,0249604	0,0211919	0,016579	0,0160659	0,0170332	0,0408782	0,0198451	0,0195419	0,0186547	0,0404847	0,0238814	0,0222175	0,0216859	0,0180598	0,0169178	0,0166615	0,0164525	0,0210164	0,0172715	0,0300501	0,0223304	0,024446	0,0214203	0,0310351	0,0218868	0,0189467	0,0181218	0,0161176	0,0150922	0,0186099	0,0199181	0,0310469	0,0219053	0,0248051	0,0236909	0,0342631	0,0268262	0,0171878	0,0174926	0,0180756	0,017289	0,02297	0,0234282	0,019894	0,0222751	0,0266252	0,0276271	0,0270462	0,0247118	0,0206194	0,019295	0,0224976	0,0197223	0,0247146	0,0243768	0,0194479	0,0201204	0,0295068	0,0271376	0,0262635	0,0246056
12	0,0205703	0,0159237	0,0177335	0,0194528	0,0334273	0,0177188	0,0187289	0,0313853	0,0355717	0,022432	0,022082	0,0248751	0,0208382	0,0175621	0,0213473	0,020121	0,0322195	0,022674	0,0296945	0,0226617	0,0372577	0,0221193	0,0245315	0,0277228	0,0248956	0,0200444	0,016998	0,0175703	0,0319671	0,0269066	0,0212555	0,0194276	0,0371766	0,0230698	0,0225112	0,0248429	0,0228953	0,0167421	0,0161505	0,017085	0,0407823	0,0197976	0,01947	0,0186465	0,040351	0,0236913	0,0219714	0,0214244	0,0181997	0,0169169	0,0166399	0,0165162	0,020916	0,0173514	0,0297536	0,0223578	0,0243111	0,0212267	0,0309068	0,0219432	0,0190075	0,018059	0,0162211	0,0150827	0,0185684	0,0198897	0,0307565	0,0217961	0,0246542	0,0236413	0,033908	0,0267941	0,0172883	0,0175469	0,0185484	0,0171015	0,0228241	0,0235105	0,0197126	0,0222339	0,0265019	0,0274913	0,0271241	0,0246966	0,020762	0,0191004	0,022841	0,0195614	0,0244416	0,0241766	0,0193954	0,0199261	0,0294582	0,0267334	0,0262876	0,0244251
13	0,0238333	0,0160957	0,017788	0,0193753	0,033217	0,017981	0,0187401	0,0311518	0,035443	0,022569	0,0221101	0,0248655	0,0240324	0,0176172	0,0212284	0,0201596	0,0323212	0,0225899	0,0297051	0,0228482	0,0373108	0,0220134	0,0245288	0,0275013	0,0279361	0,0200759	0,0171306	0,0178052	0,0319575	0,0270591	0,0211382	0,0194539	0,0370286	0,0232744	0,0223757	0,024816	0,026309	0,0166889	0,0161582	0,0170325	0,0405147	0,0199573	0,0195034	0,0186006	0,0404171	0,0235916	0,0222676	0,0215811	0,0185137	0,0168418	0,0165916	0,0163252	0,0209197	0,0173457	0,0295422	0,0223352	0,0243682	0,0211752	0,0304915	0,0219295	0,0195063	0,0181624	0,0161648	0,0152219	0,0184737	0,0198966	0,0306001	0,0218042	0,0246399	0,0236646	0,0338024	0,026914	0,0176878	0,0176115	0,0191168	0,0171303	0,0228297	0,0233928	0,019677	0,0223474	0,0264959	0,0276487	0,0269221	0,0245599	0,0210038	0,0192466	0,0236126	0,0196805	0,0244378	0,0242336	0,0193599	0,0201159	0,0292936	0,0269288	0,0262775	0,0244071
14	0,0306358	0,0162465	0,0176238	0,0195951	0,0332637	0,0180473	0,0186613	0,0314077	0,0354031	0,0225051	0,0221143	0,0248885	0,0302944	0,0177112	0,0214088	0,0203431	0,0323216	0,0227099	0,0297061	0,0227995	0,0369514	0,0219301	0,0245124	0,0276975	0,0344116	0,0200909	0,0170546	0,0178724	0,0316492	0,0269785	0,0211173	0,0194825	0,0371239	0,0230373	0,0224331	0,0247773	0,0328272	0,0166326	0,0161241	0,0173317	0,0406751	0,0199199	0,0193415	0,0186865	0,0403132	0,023618	0,0220057	0,021506	0,0191877	0,0170065	0,0166608	0,0164707	0,0209903	0,0172924	0,029337	0,0222633	0,0243255	0,0212928	0,0305302	0,0219336	0,0201173	0,0181312	0,0162072	0,0151814	0,0184789	0,0198859	0,0303831	0,0216623	0,0245281	0,0235616	0,0336725	0,027031	0,0182728	0,0177371	0,0204655	0,0171279	0,022934	0,0235913	0,019811	0,0223335	0,0263483	0,0274545	0,0269958	0,0246853	0,0215426	0,0192859	0,0249431	0,0196509	0,0244003	0,0242656	0,0192758	0,0199274	0,0293278	0,0268378	0,0263172	0,0245015
15	0,0428757	0,0163099	0,0177696	0,0197498	0,0330475	0,0179153	0,018643	0,0312265	0,0352582	0,0226408	0,0219533	0,0248891	0,0420872	0,0179025	0,021417	0,0205934	0,0321524	0,022601	0,029595	0,0226653	0,0369893	0,0219688	0,0245256	0,0276061	0,0465152	0,0201361	0,0171281	0,01793	0,0319397	0,0270132	0,0211938	0,0192559	0,0370714	0,0230511	0,0224613	0,0248096	0,0449915	0,0168047	0,0161768	0,0175076	0,0406699	0,019783	0,0194524	0,0185396	0,0402545	0,0234947	0,0221022	0,0213883	0,020292	0,0169942	0,0166541	0,0164051	0,02091	0,0172092	0,0293236	0,0222433	0,0242875	0,0213547	0,0302702	0,0218802	0,0212283	0,0181972	0,0162873	0,0151266	0,0185185	0,0200082	0,0302601	0,0218989	0,0246407	0,0235974	0,0336402	0,0270002	0,0192987	0,0176585	0,0230546	0,0171989	0,0227764	0,0236298	0,0197084	0,0221543	0,0264687	0,0275244	0,0268946	0,0245146	0,0229435	0,0192067	0,027691	0,0197059	0,0245869	0,0242637	0,0192597	0,0200952	0,0292664	0,0267339	0,0262465	0,0242979
16	0,0659792	0,016463	0,0176224	0,0202384	0,0330463	0,0178846	0,0187039	0,0312695	0,0353894	0,0224613	0,0219627	0,0247693	0,0638266	0,017961	0,0213796	0,0210327	0,0322451	0,0225559	0,0298012	0,0223914	0,0369449	0,0219513	0,0245757	0,0274972	0,0685794	0,0204793	0,0171189	0,0182552	0,0319953	0,0271451	0,0212215	0,019351	0,0370275	0,0230942	0,0224668	0,0245292	0,0682978	0,0171168	0,0161371	0,0178182	0,0404838	0,0198167	0,0194451	0,0186082	0,0402407	0,0234717	0,0220149	0,0213183	0,0226216	0,0168707	0,0167411	0,0163248	0,020959	0,0172747	0,029189	0,0223024	0,0242996	0,0211773	0,0302218	0,0217213	0,0236012	0,0182253	0,0162579	0,0152121	0,0185889	0,0197613	0,0302607	0,0217929	0,0246354	0,0237303	0,0333059	0,026814	0,0218113	0,017665	0,027785	0,0172163	0,022893	0,0236062	0,0196542	0,0222167	0,0263167	0,0274291	0,0267312	0,0247992	0,025252	0,0191639	0,0328758	0,0195476	0,0243992	0,0241435	0,0194632	0,0200311	0,0292783	0,0268023	0,026201	0,0244523
17	0,106375	0,0170883	0,0178631	0,021462	0,0333243	0,0180178	0,0188779	0,0312639	0,035303	0,0226488	0,0220166	0,0248781	0,101814	0,0185076	0,0214188	0,0220194	0,0325414	0,0225431	0,029871	0,022506	0,0372003	0,0221901	0,024548	0,0273701	0,107165	0,020897	0,0171102	0,0194312	0,0319378	0,027159	0,0214077	0,0195135	0,0372564	0,0231146	0,0224217	0,0246814	0,107562	0,0175829	0,0163225	0,0187788	0,0408087	0,0200174	0,0195675	0,0187086	0,0406485	0,0235501	0,0221243	0,0212915	0,0270491	0,0169333	0,0168854	0,0164065	0,0209946	0,0174543	0,0291492	0,0223365	0,0244615	0,0213173	0,0302776	0,0219089	0,0281376	0,0184176	0,016381	0,0152308	0,0185189	0,0199122	0,0302268	0,0218093	0,0248047	0,0236832	0,0335384	0,0269268	0,0261798	0,0176967	0,0372398	0,0171282	0,0228779	0,0235971	0,0198403	0,0221834	0,0263625	0,0273812	0,0268871	0,024699	0,0299734	0,0193306	0,0429722	0,0196464	0,0246486	0,0242195	0,019535	0,0201552	0,0292466	0,0267781	0,0264114	0,0244688
18	0,169307	0,0179204	0,0177519	0,023282	0,0337762	0,0180925	0,0187891	0,031333	0,035586	0,0226061	0,0222139	0,0248696	0,160576	0,0196757	0,0215628	0,0237586	0,0327347	0,0226627	0,0296919	0,0227375	0,0373793	0,021841	0,0246405	0,0274215	0,167607	0,0218595	0,0170543	0,0209537	0,0323645	0,0272641	0,0214297	0,0195922	0,0376214	0,0231706	0,0222212	0,0246086	0,169595	0,0185134	0,0163491	0,0205178	0,0411708	0,0198901	0,0194875	0,0185979	0,0409717	0,0234788	0,0219976	0,0212795	0,0358337	0,017075	0,0170485	0,0164427	0,0210837	0,0174214	0,0290728	0,0223947	0,0244948	0,0212175	0,0301927	0,0219605	0,036644	0,0184274	0,0167161	0,0152444	0,0188032	0,0200261	0,0304381	0,0218949	0,0246857	0,0235812	0,0332743	0,0269507	0,0344996	0,0179421	0,0547843	0,0171699	0,0231064	0,0236267	0,0198322	0,0222642	0,0262668	0,0272314	0,0270251	0,0247276	0,0388757	0,0195229	0,0613316	0,019568	0,0245653	0,0242988	0,0193612	0,0200263	0,0294125	0,0269379	0,026279	0,0244553
19	0,252491	0,0198312	0,0179973	0,0270138	0,0343222	0,0182607	0,0188408	0,0311213	0,0363728	0,0227397	0,0221589	0,0248447	0,237165	0,021616	0,0216238	0,0269318	0,0333771	0,0229017	0,0299062	0,0227473	0,0381593	0,0221109	0,0245146	0,0275923	0,246906	0,0235774	0,0172083	0,0241129	0,0331232	0,0273428	0,0215171	0,0197082	0,0383694	0,022954	0,0223778	0,0248271	0,25053	0,0201684	0,0162649	0,0236014	0,0417364	0,020194	0,0195027	0,0189169	0,0417358	0,0237289	0,0220014	0,0214607	0,0519759	0,0173927	0,0175056	0,0164434	0,0211569	0,0173869	0,0294193	0,022448	0,0245541	0,0213885	0,0304436	0,0217867	0,0529524	0,0186601	0,0170167	0,0153037	0,0189785	0,0200417	0,0307752	0,0219531	0,0248635	0,0236849	0,033549	0,0267882	0,0502414	0,0180886	0,0864041	0,0172915	0,0233024	0,0237649	0,0199548	0,0224001	0,0265566	0,0274216	0,0268288	0,024624	0,055469	0,0196319	0,0944468	0,0197534	0,0247926	0,0242106	0,0195995	0,0199578	0,0294796	0,0269683	0,0263321	0,0246264
20	0,338107	0,0233423	0,0181509	0,0337909	0,035809	0,0185543	0,0189506	0,0316199	0,0378171	0,0226496	0,022031	0,0248258	0,314343	0,0249989	0,021923	0,0337782	0,0349933	0,0229433	0,0297704	0,0232215	0,039429	0,0219533	0,024746	0,0276058	0,327447	0,026842	0,0175309	0,0301693	0,034384	0,0277413	0,0214962	0,0199517	0,0399513	0,0231677	0,0223066	0,0247947	0,332554	0,0235228	0,0166364	0,0296328	0,0432105	0,0203416	0,0198344	0,0191738	0,0430351	0,0237164	0,0223274	0,0212692	0,0814542	0,0178977	0,0184145	0,0166202	0,0215992	0,0173921	0,0299716	0,0223609	0,0249283	0,0211605	0,0306365	0,0216238	0,0823903	0,0193239	0,0179275	0,0154954	0,0194432	0,0202847	0,0313237	0,0219617	0,0253241	0,0236542	0,0338204	0,0268895	0,0791396	0,0186156	0,139005	0,0171935	0,0237362	0,0238118	0,0199436	0,0224559	0,026867	0,0273675	0,0268422	0,0248381	0,0854315	0,0201861	0,148397	0,0198045	0,0251602	0,02437	0,0197284	0,0201288	0,0299466	0,0269386	0,0266238	0,0249087
